Altium Designer Pick and Place Locations
C:\Users\Lorenzo\Documents\Progetti\BugBuster\PCB Material\Main PCB\Project Outputs for BugBuster\Pick Place for BugBusterMain.csv

========================================================================================================================
File Design Information:

Date:       09/06/26
Time:       17:49
Revision:   da98f3cbfb94ec55bc2dc689cd6e4ea20adeb74f
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R40","150 mOhms","TopLayer","STACKPOLE_CSR0805","1919.291","2224.409","90","RES 0.15 OHM 0.5% 1/4W 0805"
"R39","150 mOhms","TopLayer","STACKPOLE_CSR0805","2211.811","2214.567","90","RES 0.15 OHM 0.5% 1/4W 0805"
"R38","73.2 kOhms","TopLayer","RES_0603_1608","1328.740","2027.559","270","RES 73.2K OHM 1% 1/10W 0603"
"R37","178 kOhms","TopLayer","RES_0603_1608","1427.165","1397.638","180","RES 178K OHM 1% 1/10W 0603"
"R36","154 kOhms","TopLayer","RES_0603_1608","726.378","2350.394","90","RES SMD 154K OHM 1% 1/10W 0603"
"R35","154 kOhms","TopLayer","RES_0603_1608","785.433","2350.394","90","RES SMD 154K OHM 1% 1/10W 0603"
"R34","154 kOhms","TopLayer","RES_0603_1608","844.488","2350.394","90","RES SMD 154K OHM 1% 1/10W 0603"
"R33","73.2 kOhms","TopLayer","RES_0603_1608","1210.630","2027.559","270","RES 73.2K OHM 1% 1/10W 0603"
"R32","154 kOhms","TopLayer","RES_0603_1608","903.543","2350.394","90","RES SMD 154K OHM 1% 1/10W 0603"
"R31","100 kOhms","TopLayer","RES_0603_1608","1053.150","2027.559","270","RES 100K OHM 1% 1/3W 0603"
"R30","165 kOhms","TopLayer","RES_0603_1608","1112.205","1397.638","180","RES 165K OHM 1% 1/10W 0603"
"R29","41.7 kOhms","TopLayer","RES_0603_1608","895.669","2824.803","0","RES 41.7K OHM 1% 1/10W 0603"
"R28","=Value","TopLayer","RES_0603_1608","984.252","3011.811","180","RES 0 OHM JUMPER 1/8W 0603"
"R27","45.3 kOhms","TopLayer","RES_0603_1608","994.094","2952.756","0","RES SMD 45.3K OHM 1% 1/10W 0603"
"R26","100 kOhms","TopLayer","RES_0603_1608","1122.047","2952.756","180","RES 100K OHM 1% 1/3W 0603"
"R25","41.7 kOhms","TopLayer","RES_0603_1608","1568.898","2846.456","180","RES 41.7K OHM 1% 1/10W 0603"
"R23","78.7 kOhms","TopLayer","RES_0603_1608","1444.882","2350.394","180","RES SMD 78.7K OHM 1% 1/16W 0603"
"R22","34.8 kOhms","TopLayer","RES_0603_1608","2325.350","2875.693","0","RES SMD 34.8K OHM 1% 1/10W 0603"
"R21","45.3 kOhms","TopLayer","RES_0603_1608","1446.850","2293.307","180","RES 45.3K OHM 1% 1/10W 0603"
"R20","45.3 kOhms","TopLayer","RES_0603_1608","1460.630","2718.504","180","RES SMD 45.3K OHM 1% 1/10W 0603"
"R19","100 kOhms","TopLayer","RES_0603_1608","1332.677","2718.504","0","RES 100K OHM 1% 1/3W 0603"
"R18","22 kOhms","TopLayer","RES_0603_1608","1377.953","2440.945","270","RES SMD 22K OHM 1% 1/10W 0603"
"R17","12 kOhms","TopLayer","RES_0603_1608","584.646","1000.000","0","RES SMD 12K OHM 1% 1/3W 0603"
"R16","100 kOhms","TopLayer","RES_0603_1608","944.882","925.197","270","RES 100K OHM 1% 1/3W 0603"
"R15","100 kOhms","TopLayer","RES_0603_1608","944.882","807.087","90","RES 100K OHM 1% 1/3W 0603"
"R14","5.1 kOhms","TopLayer","RES_0603_1608","236.220","629.921","0","RES 5.1K OHM 1% 1/10W 0603"
"R13","5.1 kOhms","TopLayer","RES_0603_1608","206.693","1092.520","0","RES 5.1K OHM 1% 1/10W 0603"
"R12","NC","TopLayer","RES_0603_1608","736.220","2181.102","0","RES 0 OHM JUMPER 1/4W 0603"
"R11","22.6 kOhms","TopLayer","RES_0603_1608","736.220","2236.220","0","RES 22.6K OHM 1% 1/10W 0603"
"R10","5.1 kOhms","TopLayer","RES_0603_1608","574.803","2293.307","180","RES 5.1K OHM 1% 1/10W 0603"
"R9","49.9 kOhms","TopLayer","RES_0603_1608","462.599","2293.307","180","RES 49.9K OHM 1% 1/10W 0603"
"R8","10 Ohms","TopLayer","RES_0603_1608","413.386","2204.724","90","RES SMD 10 OHM 1% 1/4W 0603"
"R7","10 kOhms","TopLayer","RES_0603_1608","866.142","1751.968","180","RES 10K OHM 1% 1/5W 0603"
"R6","10 kOhms","TopLayer","RES_0603_1608","875.984","1299.213","180","RES 10K OHM 1% 1/5W 0603"
"R5","10 kOhms","TopLayer","RES_0603_1608","748.032","1988.189","180","RES 10K OHM 1% 1/5W 0603"
"R4","10 Ohms","TopLayer","RES_0603_1608","492.126","246.063","270","RES SMD 10 OHM 1% 1/4W 0603"
"R3","10 kOhms","TopLayer","RES_0603_1608","206.693","1161.417","0","RES 10K OHM 1% 1/5W 0603"
"R2","5.1 kOhms","TopLayer","RES_0603_1608","383.858","2066.929","90","RES 5.1K OHM 1% 1/10W 0603"
"R1","5.1 kOhms","TopLayer","RES_0603_1608","324.803","2066.929","90","RES 5.1K OHM 1% 1/10W 0603"
"Q5","SI7113ADN-T1-GE3","TopLayer","FP-S16-2667-SINGLE-MFG","2192.947","570.866","180","MOSFET P-CH 100V 10.8A 1212-8"
"Q4","SI7113ADN-T1-GE3","TopLayer","FP-S16-2667-SINGLE-MFG","1828.774","551.181","180","MOSFET P-CH 100V 10.8A 1212-8"
"Q3","SI7113ADN-T1-GE3","TopLayer","FP-S16-2667-SINGLE-MFG","1940.911","2076.771","0","MOSFET P-CH 100V 10.8A 1212-8"
"Q2","SI7113ADN-T1-GE3","TopLayer","FP-S16-2667-SINGLE-MFG","2241.959","2068.772","0","MOSFET P-CH 100V 10.8A 1212-8"
"Q1","AONR21307","TopLayer","FP-DFN3x3A_8L_EP1_P-MFG","439.961","2396.998","0","MOSFET P-CH 30V 3X3 DFN"
"P4","691382010005","TopLayer","691382010005","3978.347","1259.842","90","Terminal Block, R/A Header, 5Pos, Th Rohs Compliant: Yes"
"P3","691382010005","TopLayer","691382010005","3978.347","629.921","90","Terminal Block, R/A Header, 5Pos, Th Rohs Compliant: Yes"
"P2","691382010005","TopLayer","691382010005","3976.378","1902.887","90","Terminal Block, R/A Header, 5Pos, Th Rohs Compliant: Yes"
"P1","691382010005","TopLayer","691382010005","3976.378","2559.055","90","Terminal Block, R/A Header, 5Pos, Th Rohs Compliant: Yes"
"J5","M20-7830442","TopLayer","HARWIN_M20-7830445","236.220","472.441","270","CONN RCPT 8POS 0.1 GOLD PCB"
"J4","M20-7830442","TopLayer","HARWIN_M20-7830445","3622.047","1574.803","270","CONN RCPT 8POS 0.1 GOLD PCB"
"J3","M20-7830442","TopLayer","HARWIN_M20-7830445","236.220","2716.535","270","CONN RCPT 8POS 0.1 GOLD PCB"
"J2","USB4085-GF-A","TopLayer","FP-USB4085-GF-A-MFG","230.118","866.142","270","CONN RCPT USB2.0 TYPE C 24POS RA"
"J1","USB4125-GF-A-0190","TopLayer","FP-USB4125-GF-A-0190-MFG","161.417","2283.465","270","CONN RCPT TYPE C 6P SMD RA"
"D10","NSR0240V2T5G","TopLayer","FP-502-MFG","1771.654","649.606","180","NSR0240V2T5G Diode Schottky 40V 0.25A 2-Pin SOD-523 T/R"
"D7","NSR0240V2T5G","TopLayer","FP-502-MFG","1988.189","1978.346","0","NSR0240V2T5G Diode Schottky 40V 0.25A 2-Pin SOD-523 T/R"
"D6","NSR0240V2T5G","TopLayer","FP-502-MFG","2306.693","1968.504","0","NSR0240V2T5G Diode Schottky 40V 0.25A 2-Pin SOD-523 T/R"
"D5","NRVBA340T3G","TopLayer","FP-403D-MFG","511.811","748.032","180","DIODE SCHOTTKY 40V 3A SMA"
"D4","TPD2E1B06DRLR","TopLayer","FP-DRL0006A-MFG","452.756","905.512","90","TVS DIODE 5.5V 15V 6SOT"
"D3","XL-2020RGBC-WS2812B","TopLayer","LED_XL-2020RGBC-WS2812B","1358.268","133.858","180","2020 RGB LED(BUILT-IN IC)"
"D2","XL-2020RGBC-WS2812B","TopLayer","LED_XL-2020RGBC-WS2812B","1220.472","133.858","180","2020 RGB LED(BUILT-IN IC)"
"D1","XL-2020RGBC-WS2812B","TopLayer","LED_XL-2020RGBC-WS2812B","1086.772","134.173","180","2020 RGB LED(BUILT-IN IC)"
"C76","0.1 µF","TopLayer","CAP_0603_1608","2844.488","1338.583","0","CAP CER 0.1UF 50V X7R 0603"
"C75","1 µF","TopLayer","CAP_0603_1608","2844.488","1397.638","0","CAP CER 1UF 50V X5R 0603"
"C74","1200 pF","TopLayer","CAP_0603_1608","3720.473","895.669","0","CAP CER 1200PF 50V X7R 0603"
"C73","0.1 µF","TopLayer","CAP_0603_1608","3553.150","1053.150","90","CAP CER 0.1UF 50V X7R 0603"
"C72","1 µF","TopLayer","CAP_0603_1608","3641.733","1082.677","180","CAP CER 1UF 50V X5R 0603"
"C71","1200 pF","TopLayer","CAP_0603_1608","3720.473","295.276","0","CAP CER 1200PF 50V X7R 0603"
"C70","0.1 µF","TopLayer","CAP_0603_1608","3553.150","452.756","90","CAP CER 0.1UF 50V X7R 0603"
"C69","1 µF","TopLayer","CAP_0603_1608","3651.575","482.283","180","CAP CER 1UF 50V X5R 0603"
"C68","1200 pF","TopLayer","CAP_0603_1608","3710.630","1722.441","0","CAP CER 1200PF 50V X7R 0603"
"C67","0.1 µF","TopLayer","CAP_0603_1608","2962.599","2381.890","0","CAP CER 0.1UF 50V X7R 0603"
"C66","0.1 µF","TopLayer","CAP_0603_1608","2854.331","2381.890","180","CAP CER 0.1UF 50V X7R 0603"
"C65","0.1 µF","TopLayer","CAP_0603_1608","3553.150","1879.921","90","CAP CER 0.1UF 50V X7R 0603"
"C64","1 µF","TopLayer","CAP_0603_1608","3671.260","1909.449","180","CAP CER 1UF 50V X5R 0603"
"C63","0.1 µF","TopLayer","CAP_0603_1608","2942.914","1072.835","0","CAP CER 0.1UF 50V X7R 0603"
"C62","1200 pF","TopLayer","CAP_0603_1608","3690.945","2204.724","0","CAP CER 1200PF 50V X7R 0603"
"C61","0.1 µF","TopLayer","CAP_0603_1608","2844.488","1072.835","180","CAP CER 0.1UF 50V X7R 0603"
"C60","0.1 µF","TopLayer","CAP_0603_1608","3543.307","2391.732","90","CAP CER 0.1UF 50V X7R 0603"
"C59","1 µF","TopLayer","CAP_0603_1608","3651.575","2411.417","180","CAP CER 1UF 50V X5R 0603"
"C58","10 µF","TopLayer","CAP_0603_1608","1702.756","1200.787","0","CAP CER 10UF 25V X6S 0603"
"C57","0.1 µF","TopLayer","CAP_0603_1608","1702.756","1259.842","0","CAP CER 0.1UF 50V X7R 0603"
"C56","4700 pF","TopLayer","CAP_0603_1608","2401.575","856.299","90","CAP CER 4700PF 50V X7R 0603"
"C55","4700 pF","TopLayer","CAP_0603_1608","2322.835","856.299","90","CAP CER 4700PF 50V X7R 0603"
"C54","4700 pF","TopLayer","CAP_0603_1608","2027.559","856.299","90","CAP CER 4700PF 50V X7R 0603"
"C53","4700 pF","TopLayer","CAP_0603_1608","1948.819","856.299","90","CAP CER 4700PF 50V X7R 0603"
"C52","220pF","TopLayer","CAP_0603_1608","2372.047","748.032","180","CAP CER 220PF 50V C0G/NP0 0603"
"C51","220pF","TopLayer","CAP_0603_1608","1985.236","757.874","180","CAP CER 220PF 50V C0G/NP0 0603"
"C50","4700 pF","TopLayer","CAP_0603_1608","1850.394","1742.126","270","CAP CER 4700PF 50V X7R 0603"
"C49","4700 pF","TopLayer","CAP_0603_1608","1791.339","1742.126","270","CAP CER 4700PF 50V X7R 0603"
"C48","4700 pF","TopLayer","CAP_0603_1608","2180.437","1759.181","270","CAP CER 4700PF 50V X7R 0603"
"C47","4700 pF","TopLayer","CAP_0603_1608","2121.382","1756.228","270","CAP CER 4700PF 50V X7R 0603"
"C46","220pF","TopLayer","CAP_0603_1608","1771.653","1879.921","180","CAP CER 220PF 50V C0G/NP0 0603"
"C45","220pF","TopLayer","CAP_0603_1608","2086.614","1879.921","0","CAP CER 220PF 50V C0G/NP0 0603"
"C44","0.022 µF","TopLayer","CAP_0603_1608","1706.693","1496.063","0","CAP CER 0.022UF 25V X7R 0603"
"C43","2.2 µF","TopLayer","CAP_0603_1608","2372.047","1318.898","0","CAP CER 2.2UF 25V X7R 0603"
"C42","10 µF","TopLayer","CAP_0603_1608","1702.756","1082.677","0","CAP CER 10UF 25V X6S 0603"
"C41","0.1 µF","TopLayer","CAP_0603_1608","2039.370","1509.842","180","CAP CER 0.1UF 50V X7R 0603"
"C40","10 µF","TopLayer","CAP_0603_1608","1677.165","1348.425","270","CAP CER 10UF 25V X6S 0603"
"C39","0.1 µF","TopLayer","CAP_0603_1608","2372.047","1377.953","0","CAP CER 0.1UF 50V X7R 0603"
"C38","10 µF","TopLayer","CAP_0603_1608","2039.370","1568.898","180","CAP CER 10UF 25V X6S 0603"
"C37","0.1 µF","TopLayer","CAP_0603_1608","1736.220","1348.425","270","CAP CER 0.1UF 50V X7R 0603"
"C36","10 µF","TopLayer","CAP_0603_1608","2372.047","1437.008","0","CAP CER 10UF 25V X6S 0603"
"C35","0.1 µF","TopLayer","CAP_0603_1608","1446.850","2027.559","270","CAP CER 0.1UF 50V X7R 0603"
"C34","47 µF","TopLayer","CAP_1210_3225_-_1MM","1437.008","1496.063","0","CAP CER 47UF 25V X5R 1210"
"C33","0.1 µF","TopLayer","CAP_0603_1608","1112.205","2027.559","270","CAP CER 0.1UF 50V X7R 0603"
"C32","22µF","TopLayer","CAP_1210_3225_-_2.8MM","1125.984","1496.063","180","CAP CER 22UF 25V X7R 1210"
"C31","1000 pF","TopLayer","CAP_0603_1608","629.921","2549.213","90","CAP CER 1000PF 25V C0G/NPO 0603"
"C30","1 µF","TopLayer","CAP_0603_1608","570.866","2549.213","90","CAP CER 1UF 50V X5R 0603"
"C29","4.7 µF","TopLayer","CAP_0603_1608","994.095","2027.559","270","CAP CER 4.7UF 25V X5R 0603"
"C28","4.7 µF","TopLayer","CAP_0603_1608","1505.906","2027.559","270","CAP CER 4.7UF 25V X5R 0603"
"C27","10000 pF","TopLayer","CAP_0603_1608","1092.520","3011.811","180","CAP CER 10000PF 50V X7R 0603"
"C26","22µF","TopLayer","CAP_1210_3225_-_2.8MM","895.669","2710.630","270","CAP CER 22UF 25V X7R 1210"
"C25","1 µF","TopLayer","CAP_0603_1608","1190.945","2807.086","90","CAP CER 1UF 50V X5R 0603"
"C24","1000 pF","TopLayer","CAP_0603_1608","2326.772","2791.338","180","CAP CER 1000PF 25V C0G/NPO 0603"
"C23","1 µF","TopLayer","CAP_0603_1608","2326.772","2722.441","180","CAP CER 1UF 50V X5R 0603"
"C22","1000 pF","TopLayer","CAP_0603_1608","2185.039","2775.590","180","CAP CER 1000PF 25V C0G/NPO 0603"
"C21","1 µF","TopLayer","CAP_0603_1608","2185.039","2716.535","180","CAP CER 1UF 50V X5R 0603"
"C20","10000 pF","TopLayer","CAP_0603_1608","1338.583","2529.528","180","CAP CER 10000PF 50V X7R 0603"
"C19","10000 pF","TopLayer","CAP_0603_1608","1352.362","2659.449","0","CAP CER 10000PF 50V X7R 0603"
"C18","22µF","TopLayer","CAP_1210_3225_-_2.8MM","1568.898","2974.409","90","CAP CER 22UF 25V X7R 1210"
"C17","22 µF","TopLayer","CAP_0603_1608","1269.685","2125.984","0","CAP CER 22UF 6.3V X6S 0603"
"C16","0.1 µF","TopLayer","CAP_0603_1608","1269.685","2185.039","0","CAP CER 0.1UF 50V X7R 0603"
"C15","0.1 µF","TopLayer","CAP_0603_1608","1131.890","2519.685","0","CAP CER 0.1UF 50V X7R 0603"
"C14","4.7 µF","TopLayer","CAP_0603_1608","1131.890","2578.740","0","CAP CER 4.7UF 25V X5R 0603"
"C13","1 µF","TopLayer","CAP_0603_1608","1263.780","2807.086","90","CAP CER 1UF 50V X5R 0603"
"C12","22 µF","TopLayer","CAP_0603_1608","974.409","2283.465","270","CAP CER 22UF 6.3V X6S 0603"
"C11","0.1 µF","TopLayer","CAP_0603_1608","1043.307","2283.465","270","CAP CER 0.1UF 50V X7R 0603"
"C10","8 pF","TopLayer","CAP_0603_1608","862.205","1070.866","90","CAP CER 8PF 50V C0G 0603"
"C9","8 pF","TopLayer","CAP_0603_1608","704.724","1066.929","270","CAP CER 8PF 50V C0G 0603"
"C8","1 µF","TopLayer","CAP_0603_1608","807.087","728.346","180","CAP CER 1UF 50V X5R 0603"
"C7","0.1 µF","TopLayer","CAP_0603_1608","584.646","1059.055","0","CAP CER 0.1UF 50V X7R 0603"
"C6","0.1 µF","TopLayer","CAP_0603_1608","586.614","937.008","0","CAP CER 0.1UF 50V X7R 0603"
"C5","1 µF","TopLayer","CAP_0603_1608","1003.937","922.244","90","CAP CER 1UF 50V X5R 0603"
"C4","1 µF","TopLayer","CAP_0603_1608","354.331","2204.724","270","CAP CER 1UF 50V X5R 0603"
"C2","1 µF","TopLayer","CAP_0603_1608","88.583","1151.575","0","CAP CER 1UF 50V X5R 0603"
"C1","1 µF","TopLayer","CAP_0603_1608","915.354","167.323","270","CAP CER 1UF 50V X5R 0603"
